Puzzle ID,Initial State,Heuristic,Solved,Depth,Expanded Nodes,Max Fringe Size,Execution Time
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",Misplaced Tiles (h1),False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",Manhattan Distance (h2),False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",Euclidean Distance (h3),False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",Out of Row and Column (h4),False,Unsolvable,N/A,N/A,N/A
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",Misplaced Tiles (h1),True,6,7,16,0.0010004043579101562
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",Manhattan Distance (h2),True,6,7,16,0.0
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",Euclidean Distance (h3),True,6,7,16,0.0
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",Out of Row and Column (h4),True,6,7,16,0.0
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",Misplaced Tiles (h1),True,4,5,10,0.0
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",Manhattan Distance (h2),True,4,5,10,0.0
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",Euclidean Distance (h3),True,4,5,10,0.0
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",Out of Row and Column (h4),True,4,5,10,0.0
4,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 12, 9, 13, 14, 15]",Misplaced Tiles (h1),False,Unsolvable,N/A,N/A,N/A
