Puzzle ID,Initial State,Strategy,Solved,Depth,Expanded Nodes,Max Fringe Size,Execution Time
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",BFS,False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",DFS,False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",UCS,False,Unsolvable,N/A,N/A,N/A
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",A* (Manhattan Distance),False,Unsolvable,N/A,N/A,N/A
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",BFS,True,6,139,230,0.0020208358764648438
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",DFS,True,12,3602406,58,50.2108998298645
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",UCS,True,6,139,230,0.005999326705932617
2,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 14, 7, 12, 13, 0, 11, 15]",A* (Manhattan Distance),True,6,7,16,0.0010001659393310547
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",BFS,True,4,44,78,0.0010020732879638672
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",DFS,False,N/A,2671244,60,37.3630633354187
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",UCS,True,4,44,78,0.0010495185852050781
3,"[1, 2, 3, 4, 5, 6, 8, 0, 9, 10, 7, 12, 13, 14, 11, 15]",A* (Manhattan Distance),True,4,5,10,0.0
4,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 12, 9, 13, 14, 15]",BFS,False,Unsolvable,N/A,N/A,N/A
